name,skill,experience_years,notes
User_0,Blockchain,3,Cloud Computing drives innovation in modern software development
User_1,Machine Learning,15,Cloud Computing is transforming healthcare
User_2,Quantum Computing,15,Quantum Computing is transforming education
User_3,Machine Learning,6,Cloud Computing drives innovation in retrieval systems
User_4,Data Science,3,Augmented Reality changes the way we think about education
User_5,Cybersecurity,14,Cloud Computing is essential for healthcare
User_6,Cloud Computing,1,Blockchain is transforming smart cities
User_7,Internet of Things,13,Artificial Intelligence is the future of education
User_8,Cybersecurity,9,Internet of Things is essential for e-commerce
User_9,Artificial Intelligence,9,Internet of Things improves efficiency in healthcare
User_10,Augmented Reality,8,Augmented Reality is the future of retrieval systems
User_11,Machine Learning,2,Artificial Intelligence is transforming education
User_12,Data Science,11,Quantum Computing is transforming education
User_13,Artificial Intelligence,15,Machine Learning is essential for smart cities
User_14,Artificial Intelligence,8,Internet of Things changes the way we think about healthcare
User_15,Blockchain,9,Artificial Intelligence is transforming finance
User_16,Artificial Intelligence,3,Machine Learning is transforming healthcare
User_17,Cloud Computing,4,Cybersecurity drives innovation in healthcare
User_18,Internet of Things,11,Data Science is essential for modern software development
User_19,Artificial Intelligence,2,Data Science is essential for retrieval systems
