name,skill,experience_years,notes
User_0,Artificial Intelligence,11,Internet of Things improves efficiency in education
User_1,Data Science,11,Artificial Intelligence is the future of healthcare
User_2,Data Science,15,Blockchain is transforming education
User_3,Data Science,1,Cloud Computing changes the way we think about retrieval systems
User_4,Augmented Reality,12,Data Science is transforming education
User_5,Blockchain,5,Data Science is essential for healthcare
User_6,Quantum Computing,3,Internet of Things is transforming modern software development
User_7,Blockchain,10,Blockchain is transforming smart cities
User_8,Quantum Computing,10,Cybersecurity changes the way we think about healthcare
User_9,Augmented Reality,12,Cybersecurity changes the way we think about healthcare
User_10,Artificial Intelligence,10,Cloud Computing improves efficiency in modern software development
User_11,Augmented Reality,7,Machine Learning is the future of finance
User_12,Augmented Reality,14,Machine Learning is the future of finance
User_13,Augmented Reality,5,Artificial Intelligence drives innovation in retrieval systems
User_14,Quantum Computing,12,Machine Learning is transforming healthcare
User_15,Data Science,9,Artificial Intelligence is transforming healthcare
User_16,Machine Learning,12,Cybersecurity is transforming healthcare
User_17,Machine Learning,6,Cybersecurity changes the way we think about e-commerce
User_18,Artificial Intelligence,5,Cloud Computing improves efficiency in e-commerce
User_19,Blockchain,1,Cloud Computing drives innovation in healthcare
