name,skill,experience_years,notes
User_0,Blockchain,14,Quantum Computing is essential for modern software development
User_1,Blockchain,2,Quantum Computing is essential for e-commerce
User_2,Data Science,6,Augmented Reality is essential for modern software development
User_3,Cybersecurity,8,Data Science drives innovation in finance
User_4,Data Science,1,Quantum Computing improves efficiency in finance
User_5,Artificial Intelligence,12,Quantum Computing changes the way we think about smart cities
User_6,Machine Learning,2,Augmented Reality drives innovation in e-commerce
User_7,Augmented Reality,11,Cybersecurity is the future of finance
User_8,Augmented Reality,1,Cybersecurity is essential for smart cities
User_9,Quantum Computing,14,Quantum Computing improves efficiency in education
User_10,Machine Learning,9,Cloud Computing is the future of healthcare
User_11,Blockchain,5,Blockchain is essential for education
User_12,Machine Learning,10,Machine Learning is the future of education
User_13,Artificial Intelligence,9,Data Science drives innovation in e-commerce
User_14,Quantum Computing,8,Internet of Things is transforming education
User_15,Quantum Computing,1,Quantum Computing is essential for finance
User_16,Blockchain,10,Cloud Computing changes the way we think about education
User_17,Quantum Computing,2,Blockchain is the future of healthcare
User_18,Augmented Reality,11,Internet of Things drives innovation in finance
User_19,Cloud Computing,11,Machine Learning changes the way we think about finance
