name,skill,experience_years,notes
User_0,Cybersecurity,13,Artificial Intelligence is the future of healthcare
User_1,Augmented Reality,14,Cloud Computing improves efficiency in retrieval systems
User_2,Blockchain,13,Data Science improves efficiency in modern software development
User_3,Blockchain,7,Blockchain drives innovation in smart cities
User_4,Augmented Reality,10,Quantum Computing drives innovation in smart cities
User_5,Data Science,15,Augmented Reality is essential for retrieval systems
User_6,Internet of Things,14,Data Science is essential for smart cities
User_7,Machine Learning,11,Cloud Computing is the future of healthcare
User_8,Blockchain,3,Machine Learning is transforming smart cities
User_9,Quantum Computing,12,Data Science is the future of modern software development
User_10,Quantum Computing,11,Blockchain is essential for e-commerce
User_11,Cybersecurity,7,Internet of Things improves efficiency in education
User_12,Cybersecurity,13,Machine Learning is essential for healthcare
User_13,Data Science,2,Cybersecurity changes the way we think about healthcare
User_14,Internet of Things,14,Artificial Intelligence is transforming smart cities
User_15,Cloud Computing,7,Data Science changes the way we think about education
User_16,Data Science,12,Quantum Computing improves efficiency in retrieval systems
User_17,Artificial Intelligence,2,Cloud Computing drives innovation in healthcare
User_18,Internet of Things,6,Cloud Computing is essential for healthcare
User_19,Cloud Computing,10,Cybersecurity drives innovation in retrieval systems
