name,skill,experience_years,notes
User_0,Blockchain,15,Blockchain changes the way we think about finance
User_1,Artificial Intelligence,14,Artificial Intelligence changes the way we think about finance
User_2,Artificial Intelligence,9,Cybersecurity improves efficiency in modern software development
User_3,Data Science,15,Data Science drives innovation in retrieval systems
User_4,Data Science,13,Blockchain is essential for retrieval systems
User_5,Quantum Computing,4,Blockchain changes the way we think about education
User_6,Data Science,2,Internet of Things improves efficiency in retrieval systems
User_7,Cybersecurity,14,Internet of Things changes the way we think about modern software development
User_8,Machine Learning,13,Machine Learning is the future of e-commerce
User_9,Data Science,11,Machine Learning is the future of smart cities
User_10,Internet of Things,1,Internet of Things is transforming smart cities
User_11,Cybersecurity,1,Blockchain is essential for finance
User_12,Cloud Computing,1,Artificial Intelligence improves efficiency in healthcare
User_13,Cybersecurity,6,Machine Learning drives innovation in smart cities
User_14,Data Science,12,Artificial Intelligence is transforming finance
User_15,Augmented Reality,5,Internet of Things is the future of smart cities
User_16,Cybersecurity,7,Machine Learning drives innovation in modern software development
User_17,Internet of Things,5,Cybersecurity drives innovation in smart cities
User_18,Augmented Reality,3,Artificial Intelligence changes the way we think about education
User_19,Cloud Computing,4,Augmented Reality improves efficiency in e-commerce
