name,skill,experience_years,notes
User_0,Data Science,4,Augmented Reality is the future of retrieval systems
User_1,Artificial Intelligence,5,Cloud Computing improves efficiency in modern software development
User_2,Cloud Computing,4,Machine Learning drives innovation in smart cities
User_3,Cloud Computing,5,Cloud Computing drives innovation in modern software development
User_4,Cloud Computing,13,Cybersecurity improves efficiency in finance
User_5,Machine Learning,11,Blockchain is the future of e-commerce
User_6,Data Science,5,Data Science is transforming smart cities
User_7,Cybersecurity,2,Machine Learning is transforming finance
User_8,Cloud Computing,7,Augmented Reality is transforming smart cities
User_9,Cloud Computing,8,Data Science is transforming smart cities
User_10,Internet of Things,6,Machine Learning is essential for education
User_11,Blockchain,13,Artificial Intelligence changes the way we think about finance
User_12,Machine Learning,1,Cybersecurity is the future of education
User_13,Cloud Computing,10,Artificial Intelligence drives innovation in finance
User_14,Internet of Things,7,Blockchain improves efficiency in modern software development
User_15,Blockchain,6,Data Science is the future of retrieval systems
User_16,Artificial Intelligence,6,Data Science is essential for finance
User_17,Quantum Computing,6,Cloud Computing changes the way we think about education
User_18,Data Science,11,Cybersecurity is the future of e-commerce
User_19,Machine Learning,10,Machine Learning is transforming finance
