name,skill,experience_years,notes
User_0,Cloud Computing,4,Quantum Computing changes the way we think about retrieval systems
User_1,Augmented Reality,4,Data Science drives innovation in education
User_2,Cloud Computing,15,Machine Learning changes the way we think about retrieval systems
User_3,Augmented Reality,2,Cybersecurity is the future of healthcare
User_4,Blockchain,12,Augmented Reality is transforming e-commerce
User_5,Augmented Reality,11,Cybersecurity improves efficiency in education
User_6,Data Science,6,Artificial Intelligence improves efficiency in finance
User_7,Quantum Computing,2,Artificial Intelligence drives innovation in education
User_8,Artificial Intelligence,12,Artificial Intelligence is essential for finance
User_9,Data Science,5,Blockchain is essential for retrieval systems
User_10,Augmented Reality,9,Artificial Intelligence is essential for modern software development
User_11,Data Science,1,Cloud Computing is essential for modern software development
User_12,Artificial Intelligence,4,Artificial Intelligence is essential for finance
User_13,Artificial Intelligence,10,Data Science changes the way we think about finance
User_14,Cloud Computing,8,Blockchain is essential for smart cities
User_15,Data Science,13,Internet of Things changes the way we think about e-commerce
User_16,Internet of Things,3,Cloud Computing is transforming modern software development
User_17,Cloud Computing,2,Augmented Reality is transforming education
User_18,Machine Learning,12,Cloud Computing changes the way we think about education
User_19,Blockchain,9,Cloud Computing is essential for healthcare
