name,skill,experience_years,notes
User_0,Artificial Intelligence,3,Machine Learning changes the way we think about smart cities
User_1,Cybersecurity,9,Internet of Things drives innovation in finance
User_2,Blockchain,12,Data Science drives innovation in smart cities
User_3,Cloud Computing,8,Augmented Reality changes the way we think about retrieval systems
User_4,Quantum Computing,15,Quantum Computing is essential for finance
User_5,Data Science,5,Machine Learning is the future of retrieval systems
User_6,Augmented Reality,9,Internet of Things changes the way we think about healthcare
User_7,Quantum Computing,11,Augmented Reality is essential for finance
User_8,Data Science,5,Blockchain improves efficiency in smart cities
User_9,Artificial Intelligence,1,Cybersecurity improves efficiency in education
User_10,Cloud Computing,4,Artificial Intelligence is the future of retrieval systems
User_11,Augmented Reality,9,Data Science is transforming e-commerce
User_12,Data Science,11,Quantum Computing drives innovation in smart cities
User_13,Cloud Computing,7,Data Science changes the way we think about healthcare
User_14,Cloud Computing,11,Internet of Things changes the way we think about e-commerce
User_15,Cloud Computing,15,Data Science is the future of education
User_16,Data Science,8,Internet of Things is essential for retrieval systems
User_17,Augmented Reality,7,Quantum Computing is the future of healthcare
User_18,Augmented Reality,11,Blockchain is the future of e-commerce
User_19,Artificial Intelligence,2,Cybersecurity changes the way we think about finance
