name,skill,experience_years,notes
User_0,Machine Learning,13,Augmented Reality changes the way we think about education
User_1,Data Science,7,Quantum Computing changes the way we think about education
User_2,Augmented Reality,10,Machine Learning drives innovation in finance
User_3,Augmented Reality,2,Augmented Reality is essential for healthcare
User_4,Quantum Computing,2,Blockchain changes the way we think about e-commerce
User_5,Data Science,15,Cybersecurity drives innovation in finance
User_6,Blockchain,9,Quantum Computing drives innovation in education
User_7,Internet of Things,1,Cybersecurity drives innovation in finance
User_8,Machine Learning,15,Quantum Computing is transforming smart cities
User_9,Internet of Things,6,Data Science is the future of education
User_10,Data Science,8,Cloud Computing changes the way we think about smart cities
User_11,Cybersecurity,11,Blockchain is transforming healthcare
User_12,Blockchain,12,Machine Learning is essential for smart cities
User_13,Cybersecurity,8,Artificial Intelligence is essential for retrieval systems
User_14,Quantum Computing,3,Machine Learning drives innovation in education
User_15,Cloud Computing,12,Machine Learning drives innovation in e-commerce
User_16,Blockchain,8,Augmented Reality is the future of smart cities
User_17,Blockchain,2,Cybersecurity improves efficiency in education
User_18,Cybersecurity,14,Artificial Intelligence is transforming smart cities
User_19,Internet of Things,7,Internet of Things improves efficiency in healthcare
