name,skill,experience_years,notes
User_0,Augmented Reality,2,Internet of Things improves efficiency in finance
User_1,Internet of Things,10,Cybersecurity improves efficiency in modern software development
User_2,Blockchain,10,Internet of Things is the future of smart cities
User_3,Internet of Things,10,Artificial Intelligence is essential for smart cities
User_4,Quantum Computing,13,Machine Learning is the future of retrieval systems
User_5,Data Science,10,Blockchain is transforming e-commerce
User_6,Machine Learning,3,Cybersecurity improves efficiency in healthcare
User_7,Cybersecurity,5,Artificial Intelligence is transforming smart cities
User_8,Blockchain,12,Machine Learning improves efficiency in smart cities
User_9,Cybersecurity,13,Cybersecurity changes the way we think about e-commerce
User_10,Augmented Reality,13,Blockchain changes the way we think about retrieval systems
User_11,Augmented Reality,3,Cybersecurity improves efficiency in smart cities
User_12,Cloud Computing,14,Quantum Computing improves efficiency in finance
User_13,Quantum Computing,2,Augmented Reality changes the way we think about smart cities
User_14,Artificial Intelligence,10,Cloud Computing drives innovation in education
User_15,Data Science,15,Cloud Computing is the future of education
User_16,Internet of Things,11,Augmented Reality is the future of modern software development
User_17,Augmented Reality,4,Machine Learning changes the way we think about finance
User_18,Artificial Intelligence,3,Machine Learning changes the way we think about e-commerce
User_19,Augmented Reality,2,Cybersecurity changes the way we think about modern software development
