name,skill,experience_years,notes
User_0,Artificial Intelligence,14,Cloud Computing drives innovation in retrieval systems
User_1,Quantum Computing,14,Quantum Computing changes the way we think about healthcare
User_2,Internet of Things,1,Cybersecurity improves efficiency in healthcare
User_3,Data Science,8,Internet of Things changes the way we think about e-commerce
User_4,Cloud Computing,1,Cybersecurity is transforming smart cities
User_5,Machine Learning,3,Data Science drives innovation in smart cities
User_6,Internet of Things,11,Data Science drives innovation in healthcare
User_7,Quantum Computing,4,Quantum Computing is transforming e-commerce
User_8,Internet of Things,14,Blockchain improves efficiency in education
User_9,Artificial Intelligence,14,Data Science changes the way we think about smart cities
User_10,Cybersecurity,7,Augmented Reality improves efficiency in modern software development
User_11,Quantum Computing,14,Artificial Intelligence drives innovation in smart cities
User_12,Artificial Intelligence,13,Internet of Things is essential for retrieval systems
User_13,Machine Learning,15,Augmented Reality changes the way we think about e-commerce
User_14,Augmented Reality,11,Quantum Computing drives innovation in education
User_15,Machine Learning,14,Blockchain drives innovation in retrieval systems
User_16,Quantum Computing,11,Quantum Computing is essential for healthcare
User_17,Internet of Things,2,Augmented Reality improves efficiency in modern software development
User_18,Artificial Intelligence,11,Cybersecurity drives innovation in smart cities
User_19,Data Science,6,Cybersecurity improves efficiency in finance
