name,skill,experience_years,notes
User_0,Augmented Reality,11,Machine Learning is transforming finance
User_1,Machine Learning,13,Quantum Computing is the future of retrieval systems
User_2,Quantum Computing,7,Augmented Reality improves efficiency in finance
User_3,Data Science,2,Cloud Computing is essential for retrieval systems
User_4,Artificial Intelligence,2,Augmented Reality drives innovation in modern software development
User_5,Blockchain,14,Data Science is transforming education
User_6,Cloud Computing,13,Cloud Computing is essential for finance
User_7,Blockchain,8,Cloud Computing is essential for retrieval systems
User_8,Internet of Things,14,Quantum Computing is the future of e-commerce
User_9,Augmented Reality,2,Cybersecurity is the future of healthcare
User_10,Cloud Computing,15,Blockchain is transforming modern software development
User_11,Blockchain,4,Augmented Reality is the future of finance
User_12,Cloud Computing,13,Blockchain is essential for healthcare
User_13,Cybersecurity,12,Internet of Things improves efficiency in healthcare
User_14,Augmented Reality,3,Quantum Computing is transforming education
User_15,Artificial Intelligence,15,Machine Learning improves efficiency in e-commerce
User_16,Machine Learning,15,Quantum Computing drives innovation in e-commerce
User_17,Cybersecurity,1,Artificial Intelligence improves efficiency in education
User_18,Cybersecurity,5,Internet of Things is essential for e-commerce
User_19,Cloud Computing,10,Quantum Computing is essential for modern software development
