name,skill,experience_years,notes
User_0,Artificial Intelligence,11,Artificial Intelligence is the future of healthcare
User_1,Internet of Things,9,Cybersecurity improves efficiency in education
User_2,Cloud Computing,9,Blockchain improves efficiency in finance
User_3,Cloud Computing,4,Data Science improves efficiency in finance
User_4,Cloud Computing,6,Artificial Intelligence is the future of e-commerce
User_5,Cloud Computing,10,Internet of Things is essential for education
User_6,Cloud Computing,11,Cybersecurity changes the way we think about e-commerce
User_7,Blockchain,8,Cloud Computing changes the way we think about smart cities
User_8,Cybersecurity,12,Augmented Reality is the future of retrieval systems
User_9,Machine Learning,11,Augmented Reality improves efficiency in education
User_10,Artificial Intelligence,1,Blockchain is essential for retrieval systems
User_11,Augmented Reality,5,Quantum Computing is transforming finance
User_12,Cloud Computing,6,Augmented Reality improves efficiency in modern software development
User_13,Quantum Computing,4,Machine Learning is transforming modern software development
User_14,Cybersecurity,1,Artificial Intelligence is the future of finance
User_15,Blockchain,14,Quantum Computing is the future of smart cities
User_16,Machine Learning,8,Artificial Intelligence drives innovation in modern software development
User_17,Machine Learning,5,Internet of Things changes the way we think about e-commerce
User_18,Artificial Intelligence,6,Augmented Reality drives innovation in modern software development
User_19,Artificial Intelligence,14,Cybersecurity improves efficiency in retrieval systems
