name,skill,experience_years,notes
User_0,Blockchain,5,Artificial Intelligence changes the way we think about smart cities
User_1,Cloud Computing,15,Internet of Things is essential for modern software development
User_2,Quantum Computing,1,Cloud Computing is transforming finance
User_3,Quantum Computing,10,Artificial Intelligence improves efficiency in education
User_4,Internet of Things,14,Quantum Computing changes the way we think about education
User_5,Cloud Computing,11,Blockchain is the future of healthcare
User_6,Augmented Reality,9,Cloud Computing is transforming education
User_7,Internet of Things,2,Artificial Intelligence is transforming finance
User_8,Augmented Reality,4,Cybersecurity changes the way we think about healthcare
User_9,Quantum Computing,12,Blockchain improves efficiency in education
User_10,Machine Learning,3,Blockchain changes the way we think about modern software development
User_11,Blockchain,8,Cybersecurity drives innovation in e-commerce
User_12,Machine Learning,1,Internet of Things is essential for modern software development
User_13,Cybersecurity,7,Machine Learning drives innovation in healthcare
User_14,Augmented Reality,3,Cloud Computing changes the way we think about modern software development
User_15,Augmented Reality,8,Artificial Intelligence is transforming finance
User_16,Blockchain,4,Machine Learning drives innovation in finance
User_17,Artificial Intelligence,9,Blockchain improves efficiency in healthcare
User_18,Artificial Intelligence,10,Artificial Intelligence changes the way we think about education
User_19,Quantum Computing,8,Machine Learning improves efficiency in finance
